#A	line	list	near		the	Li	I	feature,	modificada	en	6707.01,	6707.2,	6707.426
6708.635	607.0	1.87	-1.584	0.000	7.65								
6708.577	26.0	5.45	-2.728	0.000	nan								
6708.499	607.0	1.87	-1.423	0.000	7.65								
6708.375	607.0	1.98	-1.097	0.000	7.65								
6708.275	20.0	2.71	-3.377	0.000	nan								
6708.147	607.0	1.87	-1.434	0.000	7.65								
6708.094	23.0	1.22	-3.113	0.000	nan								
6708.026	607.0	1.98	-2.031	0.000	7.65								
6708.023	14.0	6.00	-2.910	0.000	nan								
6707.980	607.0	2.39	-2.027	0.000	7.65								
6707.964	22.0	1.88	-6.903	0.000	nan								
6707.930	607.0	1.98	-1.651	0.000	7.65								
6707.920	3.0	0.00	-0.807	0.000	nan								
6707.919	3.0	0.00	-0.807	0.000	nan								
6707.908	3.0	0.00	-0.807	0.000	nan								
6707.907	3.0	0.00	-1.509	0.000	nan								
6707.899	607.0	3.36	-3.110	0.000	7.65								
6707.848	607.0	3.60	-2.417	0.000	7.65								
6707.807	607.0	1.21	-1.853	0.000	7.65								
6707.771	20.0	5.80	-4.015	0.000	nan								
6707.768	3.0	0.00	-0.206	0.000	nan								
6707.756	3.0	0.00	-0.428	0.000	nan								
6707.752	21.0	4.05	-2.672	0.000	nan								
6707.740	58.1	0.50	-3.810	0.000	nan								
6707.645	607.0	0.96	-2.460	0.000	7.65								
6707.596	24.0	4.21	-2.767	0.000	nan								
6707.595	607.0	1.89	-1.851	0.000	7.65								
6707.545	607.0	0.96	-1.548	0.000	7.65								
6707.518	23.0	2.74	-1.995	0.000	nan								
6707.473	62.1	0.93	-1.477	0.000	nan								
6707.470	607.0	1.88	-1.451	0.000	7.65								
6707.457	607.0	0.79	-3.055	0.000	7.65								
6707.426	26.0	4.61	-2.278	0.000	nan								
6707.371	607.0	3.05	-0.522	0.000	7.65								
6707.282	607.0	2.04	-1.333	0.000	7.65								
6707.205	607.0	1.97	-1.222	0.000	7.65								
6707.005	14.0	5.95	-2.704	0.000	nan								
6706.880	26.1	5.96	-4.504	0.000	nan								
6706.863	607.0	2.07	-1.882	0.000	7.65								
6706.844	607.0	1.96	-2.775	0.000	7.65								
6706.733	607.0	0.87	-1.807	0.000	7.65								
6706.657	607.0	0.87	-3.001	0.000	7.65								
6706.567	607.0	2.19	-1.650	0.000	7.65								
6706.548	607.0	3.13	-1.359	0.000	7.65								
6705.134	26.0	4.96	-2.379	0.000	nan								
6705.101	26.0	4.61	-1.092	0.000	nan								
6704.480	26.0	4.22	-2.660	0.000	nan								
6703.567	26.0	2.76	-3.040	0.000	nan								
