#	Start	End
5407.90	5420.00
5422.55	5426.81
5433.50	5438.05
5443.70	5448.10
5453.88	5457.27
5460.96	5464.95
5465.00	5467.89
5471.70	5475.20
5485.92	5489.10
5496.00	5508.00
5513.50	5523.19
5524.10	5527.45
5531.10	5536.40
5542.20	5548.00
5552.29	5556.40
5559.12	5583.27
5585.50	5591.55
5592.95	5596.00
5597.10	5599.43
6062.48	6068.48
#6086.57	6092.57
6164.36	6168.36
6171.34	6176.34
6184.99	6190.99
6226.24	6235.60
6319.69	6325.69
#6447.35	6451.82
6454.20	6458.35
6467.37	6470.51
#6470.51	6473.62
6480.50	6483.65
#6490.85	6500.78
6517.38	6520.37
#6525.21	6529.80
#6532.15	6534.93
6545.04	6547.29
#6568.12	6570.32
#6573.15	6576.23
#6579.70	6582.28
6590.90	6595.00
6596.60	6600.60
6603.6	6610.60
#6623.02	6628.62
6632.50	6636.20
#6638.78	6641.00
#6642.00	6645.00
#6646.00	6648.93
#6652.60	6655.12
6662.00	6664.60
6675.77	6679.99
#6694.00	6697.93
#6697.88	6702.15
6702.65	6706.17
6709.32	6714.63
#6714.63	6718.81
#6720.78	6723.16
6724.36	6727.80
6731.07	6735.15
6737.03	6746.60
6749.10	6751.10
6751.69	6753.93
#6766.85	6768.75
#6770.32	6774.32
#6785.33	6788.60
