#El	lambda	EP	loggf	Dab
NaI	6154.23	 2.10	-1.622	 3.4
NaI	6160.75	 2.10	-1.363	 2.2
MgI	5711.09	 4.35	-1.777	-0.3
MgI	6319.24	 5.11	-2.300	 0.2
AlI	6696.03	 3.14	-1.571	 0.5
AlI	6698.67	 3.14	-1.886	 1.1
SiI	5645.61	 4.93	-2.068	 2.7
SiI	5684.49	 4.95	-1.642	 0.1
SiI	5701.11	 4.93	-2.034	 1.6
SiI	5753.64	 5.62	-1.333	 6.4
SiI	5948.54	 5.08	-1.208	 2.8
SiI	6125.02	 5.61	-1.555	 2.9
SiI	6142.49	 5.62	-1.520	-0.1
SiI	6145.02	 5.62	-1.425	 1.0
SiI	6195.46	 5.87	-1.666	 5.7
SiI	6237.33	 5.61	-1.116	-0.2
SiI	6243.82	 5.62	-1.331	 0.7
SiI	6244.48	 5.62	-1.310	 4.5
SiI	6527.21	 5.87	-1.227	 6.6
SiI	6721.85	 5.86	-1.156	 5.6
SiI	6741.63	 5.98	-1.625	 3.9
CaI	5260.39	 2.52	-1.836	 1.7
CaI	5261.71	 2.52	-0.677	 4.8
CaI	5349.47	 2.71	-0.581	-0.7
CaI	5512.98	 2.93	-0.559	-0.2
CaI	5867.56	 2.93	-1.592	-2.4
CaI	6156.02	 2.52	-2.497	 0.1
CaI	6161.29	 2.52	-1.313	 0.9
CaI	6166.44	 2.52	-1.155	-0.9
CaI	6169.04	 2.52	-0.800	-1.3
CaI	6455.60	 2.52	-1.404	 2.2
CaI	6471.67	 2.53	-0.825	 0.9
CaI	6499.65	 2.52	-0.917	 2.0
ScI	5671.82	 1.45	 0.533	 1.1
ScII	5526.82	 1.77	 0.140	-0.7
ScII	5657.88	 1.51	-0.326	-0.6
ScII	5667.14	 1.50	-1.025	 0.4
ScII	5684.19	 1.51	-0.946	-0.5
ScII	6245.62	 1.51	-1.022	 0.7
ScII	6320.84	 1.50	-1.863	-0.5
TiI	4820.41	 1.50	-0.429	10.8
TiI	4913.62	 1.87	 0.068	-0.9
TiI	4997.10	 0.00	-2.174	-2.7
TiI	5016.17	 0.85	-0.657	-0.7
TiI	5039.96	 0.02	-1.199	-0.8
TiI	5071.49	 1.46	-0.797	-0.8
TiI	5145.47	 1.46	-0.622	-0.7
TiI	5503.90	 2.58	-0.218	-1.6
TiI	5648.57	 2.49	-0.410	-0.3
TiI	5662.16	 2.32	-0.123	-1.5
TiI	5739.48	 2.25	-0.781	 0.3
TiI	5965.84	 1.88	-0.492	 6.4
TiI	6064.63	 1.05	-1.941	 0.4
TiI	6091.18	 2.27	-0.445	-0.1
TiI	6126.22	 1.07	-1.416	 0.1
TiI	6258.11	 1.44	-0.435	-1.5
TiI	6599.12	 0.90	-2.069	 1.0
TiII	5211.54	 2.59	-1.490	-1.9
TiII	5418.77	 1.58	-2.104	-1.4
VI 	5670.85	 1.08	-0.482	 3.6
VI 	6039.73	 1.06	-0.747	-0.1
VI 	6081.45	 1.05	-0.692	 0.4
VI 	6090.21	 1.08	-0.150	 0.0
VI 	6119.53	 1.06	-0.451	-0.4
VI 	6243.11	 0.30	-1.067	 4.1
VI 	6251.83	 0.29	-1.431	 3.0
CrI	4801.03	 3.12	-0.251	 9.0
CrI	4936.34	 3.11	-0.343	 1.5
CrI	5214.14	 3.37	-0.784	-2.6
CrI	5238.97	 2.71	-1.427	-1.0
CrI	5247.57	 0.96	-1.618	-1.9
CrI	5287.18	 3.44	-0.954	 5.3
CrI	5480.51	 3.45	-0.997	 0.1
CrII	4884.61	 3.86	-2.069	 2.0
MnI	5377.62	 3.84	-0.068	 4.0
CoI	4792.86	 3.25	-0.080	 0.0
CoI	4813.48	 3.22	 0.177	 1.9
CoI	5301.05	 1.71	-1.950	 3.4
CoI	5359.20	 4.15	 0.040	-1.1
CoI	5647.24	 2.28	-1.594	 1.6
NiI	4814.60	 3.60	-1.670	 2.3
NiI	4913.98	 3.74	-0.661	 0.4
NiI	4952.29	 3.61	-1.261	 6.6
NiI	4976.33	 1.68	-3.002	-0.7
NiI	5010.94	 3.63	-0.901	-2.8
NiI	5081.11	 3.85	 0.064	-3.9
NiI	5094.41	 3.83	-1.108	-2.1
NiI	5435.86	 1.99	-2.432	-0.8
NiI	5462.50	 3.85	-0.880	-0.9
NiI	5587.87	 1.93	-2.479	-0.7
NiI	5589.36	 3.90	-1.148	-1.7
NiI	5625.32	 4.09	-0.731	-1.0
NiI	5628.35	 4.09	-1.316	-0.3
NiI	5641.88	 4.11	-1.017	-0.5
NiI	5643.08	 4.16	-1.234	-1.0
NiI	5694.99	 4.09	-0.629	-1.7
NiI	5748.36	 1.68	-3.279	 0.5
NiI	5847.00	 1.68	-3.410	 2.2
NiI	5996.73	 4.24	-1.010	-0.2
NiI	6086.29	 4.27	-0.471	-0.7
NiI	6108.12	 1.68	-2.512	 0.2
NiI	6111.08	 4.09	-0.823	-0.7
NiI	6119.76	 4.27	-1.316	-0.1
NiI	6128.98	 1.68	-3.368	-0.3
NiI	6130.14	 4.27	-0.938	-1.4
NiI	6175.37	 4.09	-0.534	-2.7
NiI	6176.82	 4.09	-0.266	 0.3
NiI	6186.72	 4.11	-0.888	 0.0
NiI	6204.61	 4.09	-1.112	 1.4
NiI	6223.99	 4.11	-0.954	-1.1
NiI	6322.17	 4.15	-1.164	-0.9
NiI	6327.60	 1.68	-3.086	 3.7
NiI	6360.81	 4.17	-1.145	-0.5
NiI	6378.26	 4.15	-0.830	-1.7
NiI	6598.60	 4.24	-0.914	-0.9
NiI	6635.13	 4.42	-0.779	 1.3
NiI	6767.78	 1.83	-2.136	 0.0
NiI	6772.32	 3.66	-0.963	-0.5
