#	Start	End
5338.85	5350.40
5351.41	5355.00
5357.50	5360.27
5360.27	5363.58
5363.58	5366.27
5366.44	5373.01
5373.01	5374.70
5378.50	5385.37
5388.00	5395.70
5395.70	5399.05
5399.05	5402.50
5408.00	5411.80
5411.80	5416.40
5416.40	5420.00
5422.55	5426.81
5433.30	5438.05
5443.70	5448.10
5453.88	5457.27
5460.96	5464.95
5465.00	5467.89
5471.70	5475.20
5485.92	5488.80
5496.05	5498.80
5500.00	5502.58
5504.78	5508.00
5513.50	5516.00
5516.00	5518.90
5518.90	5521.85
5521.85	5523.09
5524.40	5527.40
5531.20	5534.00
5534.00	5536.30
5542.20	5544.83
5545.50	5548.00
5552.79	5556.30
5559.22	5561.11
5561.40	5564.71
5564.71	5568.30
5568.30	5571.21
5571.33	5574.55
5574.62	5577.50
5577.60	5580.12
5580.60	5583.27
5585.60	5591.55
5593.05	5596.00
5597.20	5599.33
