#wl	elem	excit	loggf	vdwaals	Do
5339.188	20.1	8.44	-0.075	-7.196	 
5339.416	26.0	4.43	-2.166	-7.51	 
5339.526	27.0	4.23	-0.377	-7.51	 
5339.937	26.0	3.27	-0.609	-7.221	 
5340.189	26.0	4.29	-2.807	-7.52	 
5340.447	24.0	3.44	-0.724	-7.262	 
5340.666	22.0	0.82	-3.174	-7.65	 
5341.033	26.0	1.61	-1.717	-7.68	 
5341.053	25.0	2.11	-1.401	-7.74	 
5341.070	21.0	1.94	3.341	0.0	 
5341.327	27.0	4.15	0.064	-7.51	 
5341.489	22.0	3.06	-1.197	-7.58	 
5341.524	58.1	0.67	-5.088	0.0	 
5342.701	27.0	4.02	0.578	-7.51	 
5342.958	21.0	0.0	-2.275	-6.11	 
5342.969	19.0	1.61	-2.18	0.0	 
5343.380	27.0	4.03	0.024	-7.51	 
5343.438	26.0	4.37	-0.806	-7.51	 
5343.831	26.0	4.99	-2.552	-7.27	 
5344.154	58.1	1.14	-0.676	0.0	 
5344.246	22.0	3.11	-0.647	-7.65	 
5344.445	25.0	5.38	0.434	0.0	 
5344.568	27.0	4.03	-0.444	-7.51	 
5344.756	24.0	3.45	-0.981	-7.26	 
5345.512	58.1	0.52	-1.75	0.0	 
5345.543	24.0	3.46	-1.56	-7.55	 
5345.805	24.0	1.0	-0.784	-7.62	 
5346.076	24.1	3.83	-2.512	-7.86	 
5346.538	24.1	3.76	-3.095	-7.862	 
5346.562	26.1	3.23	-5.074	-7.89	 
5346.645	26.1	8.18	-0.028	-7.556	 
5346.813	28.0	3.83	-2.057	-7.48	 
5346.814	606.0	1.27	0.993	0.0	6.25
5346.931	606.0	1.27	0.693	0.0	6.25
5347.497	27.0	4.15	-0.174	-7.51	 
5347.708	28.0	3.8	-1.953	-7.222	 
5348.043	26.0	5.39	-2.779	-7.16	 
5348.056	25.0	3.38	-1.769	-7.77	 
5348.326	24.0	1.0	-1.078	-7.62	 
5348.352	26.0	5.65	-4.997	-7.39	 
5348.707	23.0	1.85	-3.181	-7.8	 
5348.744	26.0	5.06	-2.022	-7.15	 
5348.777	25.0	4.43	-2.064	-7.13	 
5349.090	27.0	4.15	-0.283	-7.51	 
5349.308	21.0	1.85	0.005	-7.7	 
5349.466	20.0	2.71	-0.192	-7.652	 
5349.731	21.0	0.02	-1.854	-7.801	 
5349.737	26.0	4.39	-1.105	-7.166	 
5349.861	25.0	5.37	0.614	-7.59	 
5350.089	40.1	1.83	-0.785	0.0	 
5350.350	40.1	1.77	-0.853	0.0	 
5350.358	23.0	2.27	-0.797	-7.86	 
5351.6704	26.0	5.064	-4.165	-7.31	 
5351.8394	28.0	3.941	-2.514	-7.56	 
5351.8931	27.0	3.576	-3.244	0.0	 
5351.9244	27.0	3.576	-2.855	0.0	 
5351.9526	27.0	3.576	-1.736	0.0	 
5351.9770	27.0	3.576	-1.5319999999999998	0.0	 
5351.9985	27.0	3.576	-1.459	0.0	 
5352.0191	27.0	3.576	-0.581	0.0	 
5352.0282	23.0	2.684	-0.8220000000000001	-7.73	 
5352.0321	27.0	3.576	-0.662	0.0	 
5352.0457	24.0	4.4110000000000005	-2.684	-7.46	 
5352.0509	27.0	3.576	-0.503	0.0	 
5352.0696	27.0	3.576	-0.569	0.0	 
5352.224	58.0	0.68	1.536	0.0	 
5352.404	59.2	0.48	1.287	0.0	 
5353.38	26.0	4.1	-0.707	-7.262	 
5353.399	28.0	1.95	-2.64	-7.771	 
5353.407	24.0	4.62	-0.92	-7.79	 
5353.515	27.0	4.15	0.462	-7.51	 
5358.113	26.0	3.3	-3.167	-7.8	 
5358.928	27.0	4.15	-0.563	-7.51	 
5358.928	24.0	4.53	-1.083	-7.75	 
5359.199	27.0	4.15	0.007	-7.51	 
5359.498	19.0	1.62	-2.88	0.0	 
5359.508	58.1	1.78	0.032	0.0	 
