#Wavelength	ele	EP	newloggf	vdwaals	Do	EW
5339.188	20.1	8.44	-0.326	-7.196	nan	3.80
5339.416	26.0	4.43	-2.176	-7.51	nan	8.4
5339.417	21.0	1.95	-0.568	-7.56	nan	0.5
5339.421	58.1	0.82	-1.998	0.0	nan	0.1
5339.516	27.0	4.23	-0.168	-7.510	nan	16.20
5339.929	26.0	3.27	-0.647	-7.221	nan	148.90
5340.184	822.0	0.73	-0.128	0.000	6.94	0.00
5340.189	26.0	4.29	-2.212	-7.520	nan	10.63
5340.224	606.0	1.30	0.584	0.000	6.25	2.37
5340.447	24.0	3.44	-0.695	-7.262	nan	16.60
5340.655	57.1	2.26	0.247	0.0	nan	1.5
5340.666	22.0	0.82	-2.356	-7.65	nan	4.8
5340.966	112.0	0.70	-1.213	0.000	1.34	0.00
5341.030	26.0	1.61	-1.953	-7.680	nan	100.41
5341.053	25.0	2.11	-1.401	-7.740	nan	3.21
5341.060	21.0	1.94	-1.675	-0.488	nan	0.04
5341.132	26.1	11.18	-6.951	-7.740	nan	17.00
5341.327	27.0	4.15	0.129	-7.51	nan	13.3
5341.489	22.0	3.06	-0.521	-7.580	nan	2.22
5341.524	58.1	0.67	-2.049	0.000	nan	0.12
5342.701	27.0	4.02	0.501	-7.510	nan	30.30
5343.380	27.0	4.03	-0.090	-7.510	nan	10.86
5343.438	26.0	4.37	-0.951	-7.510	nan	54.81
5344.455	25.0	5.38	0.399	-7.590	nan	9.44
5344.538	23.0	1.89	-2.648	-7.780	nan	0.02
5344.568	27.0	4.03	-0.967	-7.510	nan	1.65
5344.585	24.0	3.89	-3.107	-7.540	nan	0.03
5344.756	24.0	3.45	-1.049	-7.260	nan	8.10
5345.512	58.1	0.52	-1.614	0.000	nan	0.46
5345.538	24.0	3.46	-1.857	-7.550	nan	6.24
5345.588	6.0	8.85	-2.251	-7.130	nan	0.00
5345.805	24.0	1.00	-0.896	-7.620	nan	114.30
5346.066	24.1	3.83	-2.815	-7.860	nan	16.80
5346.519	26.0	5.68	-0.892	-7.140	nan	15.16
5346.538	24.1	3.76	-2.948	-7.862	nan	5.19
5346.547	58.0	0.27	-0.966	0.000	nan	0.00
5346.562	26.1	3.23	-4.935	-7.890	nan	1.86
5346.586	106.0	1.25	-5.667	0.000	3.47	0.00
5346.645	26.1	8.18	-1.028	-7.556	nan	4.0
5346.813	28.0	3.83	-2.252	-7.480	nan	3.26
5346.814	606.0	1.27	-0.304	0.000	6.25	0.34
5346.931	606.0	1.27	0.589	0.000	6.25	7.20
5347.497	27.0	4.15	-0.490	-7.510	nan	3.70
5347.708	28.0	3.80	-2.085	-7.222	nan	5.00
5348.017	822.0	0.78	-0.126	0.000	6.94	0.00
5348.043	26.0	5.39	-2.947	-7.160	nan	0.21
5348.054	25.0	3.38	-1.793	-7.770	nan	4.28
5348.061	68.0	1.16	-0.309	0.000	nan	0.01
5348.284	28.0	0.42	-5.010	-7.810	nan	0.00
5348.326	24.0	1.00	-1.210	-7.620	nan	90.08
5348.352	26.0	5.65	-0.960	-7.390	nan	10.12
5348.707	23.0	1.85	-0.681	-7.800	nan	0.00
5348.734	26.0	5.06	-2.067	-7.150	nan	3.12
5348.777	25.0	4.43	-2.408	-7.130	nan	0.11
5349.090	27.0	4.15	-0.466	-7.510	nan	3.90
5349.466	20.0	2.71	-0.311	-7.652	nan	95.00
5349.711	21.0	0.02	-2.110	-7.801	nan	1.14
