#	Start	End
#6447.35	6451.82
6454.38	6457.85
6467.37	6470.51
#6470.51	6473.62
6480.50	6483.55
6490.85	6498.49
6498.49	6500.78
6517.38	6520.37
#6525.21	6529.80
6532.15	6534.93
6545.14	6547.29
6568.12	6570.32
6573.15	6576.23
6579.70	6582.28
6591.00	6595.00
6596.60	6600.60
6603.60	6606.59
6607.52	6610.60
6623.02	6626.00
6626.61	6628.62
6632.60	6635.33
6638.78	6641.00
#6642.00	6645.00
6646.00	6648.93
6652.60	6655.12
6662.18	6664.50
6675.77	6679.99
#6694.00	6697.93
#6697.93	6700.30
6702.65	6706.17
6709.32	6711.32
6711.68	6714.63
#6714.63	6718.81
#6720.78	6723.16
6724.36	6727.80
6731.07	6735.15
6737.03	6739.80
6739.80	6744.33
6744.35	6746.60
6749.10	6751.10
6751.69	6753.93
#6766.85	6768.75
#6770.32	6774.32
6785.33	6788.60
