#	Start	End
8490.00	8509.00
8512.07	8517.11
8523.00	8564.10
8569.80	8573.80
8580.26	8584.26
8590.95	8594.95
8596.83	8600.83
8605.08	8609.00
8609.00	8612.95
8612.95	8618.28
8619.60	8623.60
8644.00	8677.63
8677.63	8682.79
8686.62	8691.80
8697.45	8701.45
8708.39	8715.20
8715.83	8719.83
8734.04	8738.04
8745.42	8749.42
8755.19	8759.19
8761.97	8765.97
8782.44	8786.44
8788.52	8794.70
8794.70	8798.48
8802.62	8810.57
8814.88	8818.88
8822.22	8826.22
8836.43	8840.43
8844.74	8848.74
8861.59	8865.00
8865.00	8870.43
8874.02	8878.02
8890.85	8894.85
8918.04	8922.04
8941.06	8948.26
